"","V_Remv","Betti0","Betti1","Wass01"
"1",0,0,0,0
"2",1,0,0,0
"3",2,0.00999151082216967,0.025467146457776,0.465346534653465
"4",3,0.0188821806123367,0.0510019797134098,0.935643564356436
"5",4,0.0784008512595996,0.0762206073106027,1.3960396039604
"6",5,0.115906447359178,0.0762206073106027,1.75247524752475
"7",6,0.120076417146474,0.126547604722614,2.31188118811881
"8",7,0.12439330656823,0.151851673281243,2.77227722772277
"9",8,0.129394611673081,0.202684610280031,3.7029702970297
"10",9,0.165905505300629,0.202684610280031,3.7029702970297
"11",10,0.192487138549109,0.253558230393015,4.63366336633663
"12",11,0.195756403006067,0.253558230393015,4.63366336633663
"13",12,0.193595306245881,0.304542777724837,5.57425742574257
"14",13,0.196120330449815,0.329987416098109,6.03960396039604
"15",14,0.199365785170328,0.406142932114465,7.43069306930693
"16",15,0.203297170277766,0.406142932114465,7.43069306930693
"17",16,0.207635312907828,0.406142932114465,7.43069306930693
"18",17,0.211918305862196,0.406142932114465,7.43069306930693
"19",18,0.212824876468316,0.430896739562501,7.88118811881188
"20",19,0.217694428276091,0.532262453555439,9.73267326732673
"21",20,0.219975378139349,0.532262453555439,9.73267326732673
"22",21,0.225892759729387,0.556781207297541,10.1782178217822
"23",22,0.231351023578667,0.582051653926334,10.6386138613861
"24",23,0.23659304494062,0.582051653926334,10.6386138613861
"25",24,0.242192950422271,0.582051653926334,10.6386138613861
"26",25,0.24775263058861,0.582051653926334,10.6386138613861
"27",26,0.254033759147323,0.582051653926334,10.6386138613861
"28",27,0.345414904482536,0.650646171175555,11.8811881188119
"29",28,0.350517563348346,0.650646171175555,11.8811881188119
"30",29,0.355266108171923,0.676066837374755,12.3465346534653
"31",30,0.390984263938678,0.676066837374755,12.3465346534653
"32",31,0.366333769527718,0.676066837374755,12.3465346534653
"33",32,0.372146655368952,0.676066837374755,12.3465346534653
"34",33,0.379696191813341,0.700403173689529,12.7871287128713
"35",34,0.385825377129994,0.700403173689529,12.7871287128713
"36",35,0.392113383824716,0.700403173689529,12.7871287128713
"37",36,0.398552694744942,0.700403173689529,12.7871287128713
"38",37,0.431836750330271,0.801571941304923,14.6336633663366
"39",38,0.466018950170051,0.825417963477592,15.0643564356436
"40",39,0.500716126020323,0.825417963477592,15.0643564356436
"41",40,0.506098801990174,0.825417963477592,15.0643564356436
"42",41,0.540716554309973,0.825417963477592,15.0643564356436
"43",42,0.606491408635168,0.825417963477592,15.0643564356436
"44",43,0.674154670068038,0.901666928403989,16.460396039604
"45",44,0.734504690642141,0.901666928403989,16.460396039604
"46",45,0.738677083747382,0.901666928403989,16.460396039604
"47",46,0.710582393400958,0.901666928403989,16.460396039604
"48",47,0.714964237971504,0.901666928403989,16.460396039604
"49",48,0.751434876273193,0.901666928403989,16.460396039604
"50",49,0.755806306087306,0.901666928403989,16.460396039604
"51",50,0.760462096271695,0.901666928403989,16.460396039604
"52",51,0.733824800405527,0.901666928403989,16.460396039604
"53",52,0.7388894277149,0.901666928403989,16.460396039604
"54",53,0.744053758585031,0.901666928403989,16.460396039604
"55",54,0.78008776161054,0.950794835278427,17.3514851485148
"56",55,0.784953846210617,0.950794835278427,17.3514851485148
"57",56,0.790196134948507,0.950794835278427,17.3514851485148
"58",57,0.792142922181072,0.950794835278427,17.3514851485148
"59",58,0.797498906973829,0.950794835278427,17.3514851485148
"60",59,0.802685917430056,0.950794835278427,17.3514851485148
"61",60,0.838394335259743,0.950794835278427,17.3514851485148
"62",61,0.843465126918889,0.950794835278427,17.3514851485148
"63",62,0.84870728436597,0.950794835278427,17.3514851485148
"64",63,0.850721345262218,0.950794835278427,17.3514851485148
"65",64,0.885403147004681,0.950794835278427,17.3514851485148
"66",65,0.861027435922556,0.950794835278427,17.3514851485148
"67",66,0.866764078001268,0.950794835278427,17.3514851485148
"68",67,0.843676452837801,0.950794835278427,17.3514851485148
"69",68,0.821693838439568,0.950794835278427,17.3514851485148
"70",69,0.854042511114187,0.974929467511629,17.7871287128713
"71",70,0.832642078422137,0.974929467511629,17.7871287128713
"72",71,0.866574839877253,0.974929467511629,17.7871287128713
"73",72,0.872945081395642,0.974929467511629,17.7871287128713
"74",73,0.879382702658189,0.974929467511629,17.7871287128713
"75",74,0.885411200626907,0.974929467511629,17.7871287128713
"76",75,0.89149491770519,0.974929467511629,17.7871287128713
"77",76,0.925226850004501,1,18.7425742574257
"78",77,0.904769786066144,1,18.7425742574257
"79",78,0.885467573931474,1,18.7425742574257
"80",79,0.867397313857377,1,18.7425742574257
"81",80,0.873965559307819,1,18.7425742574257
