"","V_Remv","S_V1","S_V2","S_V3","S_V4","S_V5","S_V6","DRt"
"1",0,1,1,1,1,1,1,1
"2",1,0.956295873044176,0.956847115277973,0.952663289057981,0.963779057713633,0.94221309967893,0.97701251836739,0.999990063094773
"3",2,0.914501796801322,0.915556402015779,0.90756734231877,0.928870072087378,0.887765525206578,0.954553461046589,0.999895102601676
"4",3,0.874534294172588,0.876047502143079,0.86460608937501,0.895225522814768,0.836464307292983,0.932610680893436,0.99959522393727
"5",4,0.836313536352846,0.838243525272079,0.823678480843555,0.862799610819611,0.788127627745311,0.911172309996022,0.998965207949225
"6",5,0.799763183385207,0.802070899057028,0.784688250686702,0.831548195911414,0.742584175080512,0.890226753255845,0.997888395297112
"7",6,0.764810231683946,0.767459226011127,0.747543689784347,0.801428736698974,0.69967253737513,0.869762682116518,0.996262828305852
"8",7,0.731384868221317,0.734341146502213,0.712157430224495,0.772400232680364,0.659240630200444,0.849769028436635,0.994003826626213
"9",8,0.699420331087004,0.702652207660562,0.678446239804747,0.744423168430472,0.621145157615452,0.830234978503486,0.991044613555592
"10",9,0.668852776141693,0.672330737943709,0.64633082626141,0.717459459810118,0.585251104307412,0.811149967184387,0.987335819725417
"11",10,0.639621149498441,0.643317727114149,0.615735650765757,0.691472402123527,0.551431257080004,0.792503672212443,0.982844341780882
"12",11,0.61166706557713,0.615556711396356,0.586588750248762,0.666426620153596,0.5195657539932,0.774286008603684,0.977551850236395
"13",12,0.584934690488451,0.588993663589599,0.558821568136396,0.642288020006913,0.489541659556953,0.756487123202519,0.971453133785585
"14",13,0.559370630514478,0.563576887922713,0.532368793097358,0.619023742703018,0.461252564473124,0.739097389352595,0.964554400792587
"15",14,0.534923825463114,0.539256919446185,0.507168205423956,0.596602119444681,0.434598208507078,0.722107401690142,0.956871615435056
"16",15,0.511545446683378,0.515986427765769,0.48316053068482,0.574992628508351,0.409484125152364,0.705507971057018,0.948428917062564
"17",16,0.489188799537854,0.493720124930262,0.4602893003052,0.554165853696064,0.385821306829124,0.689290119530685,0.939257151692783
"18",17,0.467809230137484,0.472414677294202,0.438500718746949,0.534093444292263,0.363525889429645,0.673445075568433,0.929392531119292
"19",18,0.447364036152449,0.452028621183932,0.417743536975757,0.514748076471026,0.342518855093046,0.657964269263232,0.918875425900207
"20",19,0.427812381520973,0.432522282202925,0.397968931918038,0.49610341610115,0.322725752155697,0.64283932770863,0.907749292252734
"21",20,0.409115214885707,0.413857698019314,0.37913039162393,0.478134082898481,0.304076431284833,0.628062070470208,0.89605972872467
"22",21,0.391235191594782,0.395998544485363,0.361183605866294,0.46081561587667,0.28650479686019,0.613624505161135,0.883853655845385
"23",22,0.374136599111738,0.378910064945096,0.344086361918405,0.444124440049345,0.269948572722522,0.599518823119424,0.871178610348798
"24",23,0.357785285685338,0.362559002592505,0.327798445265182,0.428037834338352,0.254349081458791,0.585737395184562,0.858082144703178
"25",24,0.34214859213682,0.346913535748697,0.312281545014421,0.412533900644401,0.239651036441776,0.572272767571224,0.844611322355729
"26",25,0.327195286628316,0.331943215932023,0.297499163785546,0.397591534037991,0.225802345887074,0.559117657837837,0.830812299142647
"27",26,0.312895502282164,0.31761890860065,0.283416531863937,0.383190394030052,0.212753928233034,0.546264950947822,0.816729981609409
"28",27,0.299220677526518,0.30391273645227,0.270000525418904,0.3693108768832,0.200459538189316,0.53370769542137,0.802407753445306
"29",28,0.286143499048092,0.29079802517059,0.257219588592957,0.355934088925886,0.188875602837562,0.521439099575688,0.787887261797407
"30",29,0.27363784723811,0.27824925151301,0.245043659279107,0.34304182083315,0.177961067203306,0.509452527851667,0.773208255846465
"31",30,0.261678744022497,0.266241993638479,0.233444098411637,0.330616522838943,0.167677248751797,0.49774149722499,0.758408470667625
"32",31,0.250242302972097,0.254752883578835,0.222393622604005,0.318641280846274,0.157987700292066,0.486299673699743,0.743523550038817
"33",32,0.239305681593287,0.243759561761154,0.211866239975451,0.307099793402687,0.148858080803333,0.475120868882626,0.728587002483023
"34",33,0.228847035703684,0.233240633492583,0.20183718901536,0.295976349509693,0.140256033725965,0.464199036635916,0.713630185426313
"35",34,0.218845475801826,0.223175627322985,0.19228288034159,0.285255807235973,0.132151072285614,0.453528269807373,0.698682312914563
"36",35,0.209281025343675,0.21354495520435,0.183180841215762,0.274923573105228,0.124514471444123,0.443102797035306,0.683770482854131
"37",36,0.20013458084261,0.204329874369447,0.174509662685015,0.264965582230621,0.117319166094251,0.432916979627099,0.668919720223499
"38",37,0.191387873713214,0.195512450855516,0.166248949225905,0.255368279168772,0.110539655137411,0.422965308509476,0.654153033143577
"39",38,0.183023433782646,0.187075524602027,0.158379270771984,0.246118599467231,0.10415191110446,0.413242401248883,0.63949147909488
"40",39,0.175024554396719,0.179002676054563,0.150882117012243,0.237203951880327,0.0981332949992179,0.403742999140359,0.624954238931474
"41",40,0.167375259050978,0.171278194209846,0.143739853852915,0.228612201229172,0.09246247606292,0.394461964363325,0.610558696666487
"42",41,0.16006026948015,0.163887046039712,0.136935681940231,0.220331651882491,0.0871193561752328,0.385394277202759,0.596320523294474
"43",42,0.153064975142206,0.156814847234526,0.130453597146578,0.212351031835795,0.0820849986238988,0.376535033334248,0.582253763174327
"44",43,0.146375404036101,0.150047834209113,0.124278352927104,0.20465947736722,0.0773415609905644,0.367879441171442,0.568370921725397
"45",44,0.139978194794897,0.143572837316697,0.118395424458243,0.197246518249144,0.0728722319149267,0.359422819274499,0.554683053391501
"46",45,0.133860569998534,0.137377255218755,0.112790974473806,0.190102063495455,0.068661171513085,0.351160593818085,0.541199849004917
"47",46,0.128010310652939,0.131449030360872,0.107451820718271,0.183216387625067,0.0646934552389305,0.343088296117596,0.527929721837817
